YYYY;MM;DD;qobs;ckhs;qceq;qcol
2010;12;12;4.153;1;0;0
2010;12;13;3.858;1;0;0
2010;12;14;3.504;1;0;0
2010;12;15;3.343;1;0;0
2010;12;16;3.08;1;0;0
2010;12;17;3.022;1;0;0
2010;12;18;2.943;1;0;0
2010;12;19;2.737;1;0;0
2010;12;20;2.481;1;0;0
2010;12;21;2.141;1;0;0
2010;12;22;2.136;1;0;0
2010;12;23;3.623;1;0;0
2010;12;24;4.248;1;0;0
2010;12;25;3.227;1;0;0
2010;12;26;2.623;1;0;0
2010;12;27;2.28;1;0;0
2010;12;28;2.288;1;0;0
2010;12;29;2.302;1;0;0
2010;12;30;2.15;1;0;0
2010;12;31;1.997;1;0;0
2011;1;1;1.896;1;0;0
2011;1;2;1.839;1;0;0
2011;1;3;1.759;1;0;0
2011;1;4;1.891;1;0;0
2011;1;5;1.811;1;0;0
2011;1;6;1.986;1;0;0
2011;1;7;3.119;1;0;0
2011;1;8;5.174;1;0;0
2011;1;9;4.837;1;0;0
2011;1;10;4.766;1;0;0
2011;1;11;4.018;1;0;0
2011;1;12;4.001;1;0;0
2011;1;13;27.921;1;0;0
2011;1;14;21.496;1;0;0
2011;1;15;12.437;1;0;0
2011;1;16;8.357;1;0;0
2011;1;17;6.919;1;0;0
2011;1;18;5.973;1;0;0
2011;1;19;5.437;1;0;0
2011;1;20;4.708;1;0;0
2011;1;21;4.062;1;0;0
2011;1;22;3.64;1;0;0
2011;1;23;3.121;1;0;0
2011;1;24;2.945;1;0;0
2011;1;25;2.565;1;0;0
2011;1;26;2.336;1;0;0
2011;1;27;2.436;1;0;0
2011;1;28;2.231;1;0;0
2011;1;29;2.287;1;0;0
2011;1;30;2.092;1;0;0
2011;1;31;1.881;1;0;0
2011;2;1;1.786;1;0;0
2011;2;2;1.735;1;0;0
2011;2;3;1.64;1;0;0
2011;2;4;1.595;1;0;0
2011;2;5;1.513;1;0;0
2011;2;6;1.6;1;0;0
2011;2;7;1.768;1;0;0
2011;2;8;1.901;1;0;0
2011;2;9;1.794;1;0;0
2011;2;10;1.742;1;0;0
2011;2;11;1.839;1;0;0
2011;2;12;1.912;1;0;0
2011;2;13;1.914;1;0;0
2011;2;14;1.932;1;0;0
2011;2;15;1.765;1;0;0
2011;2;16;1.664;1;0;0
2011;2;17;1.408;1;0;0
2011;2;18;1.281;1;0;0
2011;2;19;1.237;1;0;0
2011;2;20;1.289;1;0;0
2011;2;21;1.395;1;0;0
2011;2;22;1.375;1;0;0
2011;2;23;1.261;1;0;0
2011;2;24;1.029;1;0;0
2011;2;25;1.055;1;0;0
2011;2;26;1.026;1;0;0
2011;2;27;1.279;1;0;0
2011;2;28;1.261;1;0;0
2011;3;1;1.241;1;0;0
2011;3;2;1.212;1;0;0
2011;3;3;1.134;1;0;0
2011;3;4;1.151;1;0;0
2011;3;5;1.262;1;0;0
2011;3;6;1.354;1;0;0
2011;3;7;1.389;1;0;0
2011;3;8;1.411;1;0;0
2011;3;9;1.688;1;0;0
2011;3;10;1.964;1;0;0
2011;3;11;2.2;1;0;0
2011;3;12;2.579;1;0;0
2011;3;13;3.308;1;0;0
2011;3;14;4.519;1;0;0
2011;3;15;4.919;1;0;0
2011;3;16;4.691;1;0;0
2011;3;17;7.721;1;0;0
2011;3;18;9.788;1;0;0
2011;3;19;6.138;1;0;0
2011;3;20;4.298;1;0;0
2011;3;21;3.529;1;0;0
2011;3;22;3.312;1;0;0
2011;3;23;3.711;1;0;0
2011;3;24;4.48;1;0;0
2011;3;25;5.389;1;0;0
2011;3;26;5.486;1;0;0
2011;3;27;5.717;1;0;0
2011;3;28;6.082;1;0;0
2011;3;29;5.653;1;0;0
2011;3;30;5.64;1;0;0
2011;3;31;6.832;1;0;0
2011;4;1;12.353;1;0;0
2011;4;2;10.022;1;0;0
2011;4;3;10.006;1;0;0
2011;4;4;12.598;1;0;0
2011;4;5;8.306;1;0;0
2011;4;6;7.052;1;0;0
2011;4;7;9.054;1;0;0
2011;4;8;10.884;1;0;0
2011;4;9;9.221;1;0;0
2011;4;10;7.811;1;0;0
2011;4;11;6.718;1;0;0
2011;4;12;11.13;1;0;0
2011;4;13;8.635;1;0;0
2011;4;14;5.999;1;0;0
2011;4;15;5.017;1;0;0
2011;4;16;4.618;1;0;0
2011;4;17;4.256;1;0;0
2011;4;18;4.573;1;0;0
2011;4;19;5.107;1;0;0
2011;4;20;5.672;1;0;0
2011;4;21;6.305;1;0;0
2011;4;22;6.293;1;0;0
2011;4;23;5.953;1;0;0
2011;4;24;5.966;1;0;0
2011;4;25;6.058;1;0;0
2011;4;26;5.292;1;0;0
2011;4;27;4.455;1;0;0
2011;4;28;3.838;1;0;0
2011;4;29;4.658;1;0;0
2011;4;30;4.936;1;0;0
2011;5;1;4.64;1;0;0
2011;5;2;4.484;1;0;0
2011;5;3;5.765;1;0;0
2011;5;4;4.526;1;0;0
2011;5;5;3.786;1;0;0
2011;5;6;3.841;1;0;0
2011;5;7;4.258;1;0;0
2011;5;8;4.537;1;0;0
2011;5;9;4.312;1;0;0
2011;5;10;4.111;1;0;0
2011;5;11;4.142;1;0;0
2011;5;12;4.403;1;0;0
2011;5;13;4.813;1;0;0
2011;5;14;7.039;1;0;0
2011;5;15;12.565;1;0;0
2011;5;16;8.885;1;0;0
2011;5;17;7.289;1;0;0
2011;5;18;6.895;1;0;0
2011;5;19;5.447;1;0;0
2011;5;20;5.494;1;0;0
2011;5;21;4.939;1;0;0
2011;5;22;4.691;1;0;0
2011;5;23;4.941;1;0;0
2011;5;24;4.465;1;0;0
2011;5;25;3.953;1;0;0
2011;5;26;3.487;1;0;0
2011;5;27;8.877;1;0;0
2011;5;28;8.765;1;0;0
2011;5;29;5.488;1;0;0
2011;5;30;4.437;1;0;0
2011;5;31;5.345;1;0;0
2011;6;1;11.831;1;0;0
2011;6;2;6.274;1;0;0
2011;6;3;4.924;1;0;0
2011;6;4;4.966;1;0;0
2011;6;5;5.899;1;0;0
2011;6;6;6.117;1;0;0
2011;6;7;4.984;1;0;0
2011;6;8;6.967;1;0;0
2011;6;9;8.313;1;0;0
2011;6;10;7.071;1;0;0
2011;6;11;5.443;1;0;0
2011;6;12;4.715;1;0;0
2011;6;13;4.754;1;0;0
2011;6;14;4.897;1;0;0
2011;6;15;4.623;1;0;0
2011;6;16;4.242;1;0;0
2011;6;17;5.932;1;0;0
2011;6;18;27.745;1;0;0
2011;6;19;18.373;1;0;0
2011;6;20;10.64;1;0;0
2011;6;21;7.284;1;0;0
2011;6;22;6.664;1;0;0
2011;6;23;11.174;1;0;0
2011;6;24;9.878;1;0;0
2011;6;25;6.719;1;0;0
2011;6;26;5.488;1;0;0
2011;6;27;4.664;1;0;0
2011;6;28;4.158;1;0;0
2011;6;29;4.901;1;0;0
2011;6;30;24.237;1;0;0
2011;7;1;9.48;1;0;0
2011;7;2;7.824;1;0;0
2011;7;3;5.823;1;0;0
2011;7;4;4.906;1;0;0
2011;7;5;4.177;1;0;0
2011;7;6;3.608;1;0;0
2011;7;7;3.286;1;0;0
2011;7;8;3.952;1;0;0
2011;7;9;3.269;1;0;0
2011;7;10;3.075;1;0;0
2011;7;11;2.864;1;0;0
2011;7;12;2.524;1;0;0
2011;7;13;6.841;1;0;0
2011;7;14;12.169;1;0;0
2011;7;15;6.912;1;0;0
2011;7;16;4.719;1;0;0
2011;7;17;5.993;1;0;0
2011;7;18;9.936;1;0;0
2011;7;19;7.238;1;0;0
2011;7;20;29.293;1;0;0
2011;7;21;17.366;1;0;0
2011;7;22;15.125;1;0;0
2011;7;23;11.71;1;0;0
2011;7;24;11.833;1;0;0
2011;7;25;9.062;1;0;0
2011;7;26;6.837;1;0;0
2011;7;27;6.811;1;0;0
2011;7;28;12.772;1;0;0
2011;7;29;11.089;1;0;0
2011;7;30;8.066;1;0;0
2011;7;31;6.474;1;0;0
2011;8;1;5.637;1;0;0
2011;8;2;5.101;1;0;0
2011;8;3;5.112;1;0;0
2011;8;4;9.491;1;0;0
2011;8;5;6.718;1;0;0
2011;8;6;6.304;1;0;0
2011;8;7;12.391;1;0;0
2011;8;8;15.425;1;0;0
2011;8;9;13.084;1;0;0
2011;8;10;15.698;1;0;0
2011;8;11;9.048;1;0;0
2011;8;12;6.968;1;0;0
2011;8;13;5.966;1;0;0
2011;8;14;5.548;1;0;0
2011;8;15;9.904;1;0;0
2011;8;16;7.229;1;0;0
2011;8;17;5.658;1;0;0
2011;8;18;4.953;1;0;0
2011;8;19;4.75;1;0;0
2011;8;20;4.48;1;0;0
2011;8;21;3.994;1;0;0
2011;8;22;3.713;1;0;0
2011;8;23;3.502;1;0;0
2011;8;24;3.452;1;0;0
2011;8;25;3.411;1;0;0
2011;8;26;3.138;1;0;0
2011;8;27;5.871;1;0;0
2011;8;28;4.836;1;0;0
2011;8;29;3.882;1;0;0
2011;8;30;3.489;1;0;0
2011;8;31;3.231;1;0;0
2011;9;1;3.207;1;0;0
2011;9;2;3.156;1;0;0
2011;9;3;2.897;1;0;0
