ID;q_mean;runoff_ratio;stream_elas;slope_fdc;baseflow_index_ladson;baseflow_index_lfstat;hfd_mean;Q5;Q95;high_q_freq;high_q_dur;low_q_freq;low_q_dur;zero_q_freq
170;1.294;0.396;1.652;1.41;0.597;0.558;169.833;0.421;3.3;6.056;1.557;0.722;3.714;0
171;1.345;0.418;1.33;1.355;0.618;0.572;171.639;0.47;3.413;4.722;1.532;0;0;0
172;1.188;0.395;1.86;1.8;0.5;0.448;164.833;0.225;3.476;10.028;1.633;22.583;3.909;0
173;2.445;0.592;1.208;1.452;0.817;0.82;231.778;1.138;4.611;0;0;0;0;0
174;1.349;0.437;1.276;2.151;0.514;0.458;161.472;0.207;4.031;8.111;1.64;36.833;5.643;0
175;1.212;0.408;1.505;2.139;0.483;0.426;157.306;0.164;4.186;12.611;2.054;44;6.74;0
176;1.15;0.398;1.224;1.826;0.526;0.465;157.361;0.242;3.569;7.806;1.663;14.333;3.329;0
177;1.123;0.387;1.39;2.629;0.461;0.385;152.917;0.114;3.892;12.5;1.685;67.583;7.395;0
178;1.32;0.489;0.783;1.248;0.699;0.669;169;0.547;3.136;1.778;1.455;0;0;0
179;1.183;0.422;1.043;1.708;0.552;0.503;159.667;0.315;3.439;7.556;1.609;2.806;2.73;0
180;1.905;0.709;1.104;1.404;0.704;0.699;168.583;0.684;4.791;1.857;1.444;0;0;0
181;1.345;0.505;1.514;1.823;0.601;0.582;155.207;0.332;4.03;9.069;2.267;6.966;5.459;0
182;1.346;0.517;1.19;2.152;0.636;0.616;156.972;0.323;4.037;3.917;1.855;8.167;5.444;0
183;2.009;0.719;1.274;1.562;0.665;0.667;173.417;0.624;6.028;2.889;1.507;1.417;5.1;0
184;1.836;0.667;1.16;1.873;0.672;0.678;172.444;0.511;5.018;1.833;1.737;2.556;5.412;0
185;1.235;0.475;1.107;1.637;0.693;0.705;176.75;0.38;3.213;1.472;1.893;2.611;8.545;0
186;1.579;0.587;1.146;1.805;0.691;0.704;174.472;0.474;4.207;0.944;1.889;1.5;6.75;0
187;1.536;0.457;1.173;1.075;0.819;0.824;207.639;0.793;2.728;0;0;0;0;0
188;1.175;0.383;1.092;1.769;0.616;0.58;163.028;0.304;3.318;4.194;1.678;6.861;4.94;0
189;1.103;0.369;1.34;1.82;0.578;0.535;161.306;0.25;3.088;5.694;1.602;12.167;6.169;0
190;1.036;0.352;1.339;1.698;0.617;0.579;162.5;0.278;2.678;4.694;1.594;3.75;4.091;0
191;1.122;0.395;1.306;1.727;0.531;0.479;154.944;0.202;3.243;8.028;1.624;22.556;5.043;0
192;1.134;0.406;1.057;1.632;0.506;0.455;153.361;0.224;3.471;10.417;1.667;19.056;5.119;0
193;1.146;0.41;1.31;1.705;0.505;0.446;153.417;0.225;3.606;10.611;1.713;19.583;4.7;0
194;1.469;0.549;1.165;1.788;0.489;0.432;155.444;0.29;4.828;12.361;1.839;19.278;5.983;0
195;1.164;0.431;1.229;1.78;0.54;0.492;151.972;0.272;3.517;8.611;1.732;9.667;6;0
196;1.135;0.433;0.619;1.9;0.632;0.627;170.242;0.249;3.218;4.121;1.766;13.849;6.529;0
197;1.268;0.486;1.512;1.812;0.634;0.635;172.812;0.322;3.615;3.812;1.671;7.812;5.682;0
198;1.17;0.454;1.388;1.989;0.655;0.658;169.389;0.288;3.171;2.667;2.4;10.361;7.173;0
199;1.273;0.498;1.804;2.436;0.586;0.576;169.222;0.2;4.048;4.333;2.69;32.722;7.699;0
200;4.381;0.852;0.802;2.832;0.637;0.653;235.861;0.824;13.017;0.639;2.3;24.611;11.658;0
201;5.988;1.162;1.308;3.552;0.537;0.535;235.972;0.741;21.605;9.667;2.949;80.139;14.142;0
202;4.43;0.851;1.944;2.625;0.505;0.443;205.194;0.674;15.549;8.421;1.847;38.047;8.344;0
203;5.539;1.096;1.599;2.5;0.594;0.579;227.861;1.126;18.151;2.091;1.574;16.869;8.408;0
204;5.405;1.044;1.413;2.901;0.61;0.593;230.417;1.004;16.018;0.778;1.75;25.639;8.875;0
205;7.163;1.442;1.016;6.05;0.617;0.575;267;0.268;22.914;2.389;1.344;133.75;19.183;0
206;4.754;0.924;1.306;2.599;0.633;0.587;235.944;1.013;12.912;0.806;1.812;12.917;7.266;0
207;4.698;0.908;1.314;2.336;0.652;0.616;233.5;1.155;12.262;0.722;1.733;4.889;7.04;0
208;3.644;0.707;1.494;1.922;0.559;0.496;197.556;1;11.774;2.361;2.742;1.75;9;0
