ID;q_mean;runoff_ratio;stream_elas;slope_fdc;baseflow_index_ladson;baseflow_index_lfstat;hfd_mean;Q5;Q95;high_q_freq;high_q_dur;low_q_freq;low_q_dur;zero_q_freq
44;2.262;0.579;1.116;3.11;0.666;0.708;249.35;0.408;7.442;2.85;2.192;38;21.111;0
45;2.314;0.672;1.484;1.825;0.662;0.505;249.7;0.371;6.136;0.05;1;31.95;1.925;0
46;2.69;0.771;1.452;1.655;0.699;0.548;248.8;0.601;6.553;0;0;11.85;1.5;0
47;4.316;1.294;-0.254;6.537;0.611;0.678;289.4;0.233;17.436;67;11.964;170.95;74.326;0
48;3.217;0.683;1.22;3.751;0.693;0.745;257.75;0.502;9.713;1.5;1.667;56.8;16.955;0
49;1.256;0.304;1.626;2.893;0.619;0.636;250.8;0.212;4.166;6.65;2.714;40.95;14.891;0
50;1.993;0.469;1.214;2.546;0.706;0.748;249.5;0.475;5.921;1.3;1.857;3.05;4.357;0
51;2.423;0.542;1.401;2.696;0.72;0.777;250.45;0.6;6.892;0.75;1.875;4.1;4.824;0
52;2.182;0.456;1.67;1.433;0.826;0.897;229.4;0.95;4.657;0.1;1;0;0;0
53;2.516;0.661;1.342;1.797;0.745;0.659;248.05;0.731;6.07;0.05;1;2.6;1.268;0
54;1.429;0.39;0.699;4.114;0.705;0.756;267.2;0.231;4.138;1.55;1.824;64.6;17.459;0
55;;;;;;;;;;;;;;
56;4.272;1.304;0.427;4.723;0.604;0.624;290.45;0.332;17.737;54.95;8.519;149.65;52.509;0
57;4.584;1.254;0.029;6.779;0.606;0.632;285.6;0.226;17.8;78.1;10.413;175.2;97.333;0
58;3.436;0.924;0.671;4.771;0.662;0.697;278.4;0.391;11.675;10.65;2.506;116.05;32.236;0
59;2.964;0.716;0.766;5.136;0.675;0.786;268.6;0.249;9.444;5.05;3.607;120.2;55.907;0
60;3.025;0.773;0.609;4.546;0.679;0.725;276.5;0.399;10.04;6;2.449;99.9;31.714;0
61;3.5;0.765;0.874;5.534;0.625;0.667;264.65;0.269;12.859;17.15;4.235;140.15;60.935;0
62;;;;;;;;;;;;;;
63;2.49;0.647;1.282;2.299;0.746;0.698;255;0.672;6.274;0.05;1;2.85;1.14;0
64;2.549;0.657;1.245;2.197;0.754;0.707;254.35;0.74;6.385;0.05;1;0.8;1.143;0
65;;;;;;;;;;;;;;
66;2.488;0.629;1.291;2.275;0.764;0.732;254.1;0.777;6.138;0.05;1;0.1;1;0
67;;;;;;;;;;;;;;
68;2.73;0.667;1.401;1.74;0.774;0.883;232.6;0.964;6.69;0.05;1;0;0;0
69;2.695;0.663;0.504;2.727;0.77;0.846;251.5;0.778;6.85;0;0;0;0;0
70;3.248;0.742;0.73;2.448;0.738;0.788;247.7;0.929;8.534;0.45;1.125;1.1;11;0
71;2.711;0.648;1.135;2.334;0.768;0.842;245.9;0.824;6.712;0.1;1;0;0;0
72;2.299;0.533;1.628;1.846;0.766;0.844;239.25;0.769;5.883;0.05;1;0;0;0
73;;;;;;;;;;;;;;
74;2.479;0.564;0.807;2.701;0.775;0.841;250.75;0.746;5.965;0.05;1;0;0;0
75;2.755;0.614;0.892;1.774;0.787;0.852;242.45;1.008;6.824;0;0;0;0;0
76;2.698;0.596;0.927;2.312;0.748;0.817;244.75;0.788;7.178;0.05;1;0.4;1;0
77;2.568;0.632;1.074;2.136;0.787;0.785;251.05;0.933;5.993;0;0;0;0;0
78;0.473;0.119;1.481;2.949;0.64;0.668;258.25;0.059;1.177;3.35;1.34;62.4;21.895;0
79;4.318;1.172;0.816;5.999;0.634;0.641;267.65;0.256;14.943;8.85;1.924;137.95;56.306;0
80;0.519;0.136;1.042;1.603;0.735;0.754;241.7;0.192;1.142;2.1;1.273;0;0;0
81;2.509;0.595;1.23;2.623;0.75;0.801;249.2;0.708;6.493;0.15;1;0;0;0
82;3.938;0.988;0.701;2.292;0.615;0.374;244.85;0.69;9.254;0;0;26.3;1.955;0
83;;;;;;;;;;;;;;
84;3.746;0.93;0.802;2.183;0.634;0.413;243.85;0.735;8.652;0;0;19.05;1.964;0
85;3.911;0.908;0.836;1.77;0.657;0.505;220.35;0.633;7.971;0.05;1;30.55;2.692;0
86;3.635;0.846;0.62;1.51;0.713;0.561;226.75;0.728;7.096;0;0;18.25;1.763;0
87;3.584;0.858;0.706;1.689;0.732;0.598;239.95;1.123;7.483;0;0;2.2;1.375;0
88;2.703;0.66;1.016;2.045;0.793;0.777;249.05;1.02;6.076;0;0;0;0;0
89;2.62;0.52;1.056;3.159;0.576;0.53;234.15;0.313;8.099;2.75;1.31;55.3;14.364;0
90;2.959;0.587;1.864;1.453;0.717;0.729;216.3;1.086;7.569;0.6;1.2;0;0;0
91;3.284;0.639;1.513;2.054;0.612;0.563;211.05;0.906;9.087;1.95;1.3;0.9;3.6;0
92;;;;;;;;;;;;;;
93;;;;;;;;;;;;;;
94;;;;;;;;;;;;;;
95;3.072;0.643;0.918;1.986;0.725;0.729;231.65;0.963;7.432;0.15;1;0.4;2;0
96;2.748;0.659;0.934;1.969;0.799;0.79;247.15;1.078;6.082;0;0;0;0;0
97;2.314;0.455;1.546;1.752;0.688;0.698;215.1;0.648;5.991;0.85;1.214;0.1;1;0
98;2.295;0.45;1.576;1.707;0.677;0.664;210.25;0.727;5.857;0.85;1.214;0.45;9;0
99;;;;;;;;;;;;;;
100;;;;;;;;;;;;;;
101;3.826;0.769;1.473;1.582;0.585;0.543;203.4;1.196;10.698;4.3;1.536;0;0;0
102;;;;;;;;;;;;;;
103;3.125;0.657;1.23;2.244;0.652;0.643;227.35;0.744;8.86;0.8;1.143;4.1;4.1;0
104;;;;;;;;;;;;;;
105;2.904;0.594;1.294;2.051;0.658;0.63;221.65;0.801;7.596;0.95;1.188;1.3;3.25;0
106;2.97;0.613;1.336;2.181;0.66;0.645;224.45;0.785;7.901;0.85;1.214;0.5;3.333;0
107;3.644;0.719;1.351;1.788;0.681;0.661;216.05;1.261;9.581;0.75;1.071;0;0;0
108;;;;;;;;;;;;;;
109;;;;;;;;;;;;;;
110;;;;;;;;;;;;;;
111;3.044;0.709;0.882;4.391;0.67;0.649;264.4;0.365;9.392;2.05;1.281;88.15;7.502;0
112;6.494;1.569;0.293;7.19;0.589;0.608;290.8;0.202;27.117;79;11.206;180.8;53.176;0
113;5.335;1.26;0.279;5.645;0.634;0.598;276.3;0.405;17.884;11.4;2.054;133.1;40.954;0
114;4.741;1.1;-0.15;4.797;0.68;0.696;276.35;0.568;14.768;4.75;1.792;101.2;32.127;0
115;4.139;0.948;0.625;3.825;0.72;0.769;267.6;0.843;11.92;0.6;1.5;15.85;6.891;0
116;2.822;0.618;1.012;2.285;0.69;0.709;236.25;0.699;8.086;0.3;1;7.6;10.133;0
117;3.495;0.801;0.651;3.864;0.696;0.697;264.85;0.605;10.101;1.1;1.1;40.05;8.173;0
118;3.801;0.856;1.064;3.002;0.71;0.748;253.7;0.772;10.715;0.4;2;16.75;9.306;0
119;;;;;;;;;;;;;;
120;4.967;1.108;-0.121;1.358;0.701;0.51;212.75;1.46;9.503;0;0;8.002;1.667;0
121;10.115;2.222;-0.148;2.13;0.611;0.41;185.15;1.14;21.018;0;0;38.85;2.652;0
122;3.891;0.873;0.694;1.843;0.8;0.782;246.75;1.484;8.016;0;0;0.05;1;0
123;4.279;0.951;0.291;2.838;0.773;0.84;263.3;0.897;10.443;0;0;13.45;11.696;0
124;3.233;0.715;0.71;2.657;0.794;0.857;254.2;1.022;7.164;0;0;1.55;31;0
125;3.108;0.722;0.947;1.885;0.772;0.813;250.7;1.152;7.633;0.15;1.5;0;0;0
126;3.153;0.724;0.878;1.79;0.805;0.852;241.9;1.256;6.965;0;0;0;0;0
127;6.461;1.575;0.619;3.062;0.631;0.53;253.05;0.56;16.672;0;0;56.35;3.184;0
128;4.223;1.035;0.92;2.831;0.679;0.643;252.55;0.765;11.676;0.25;1.25;26.75;2.772;0
129;3.52;0.8;0.725;1.977;0.798;0.786;245.05;1.346;7.397;0;0;0.1;1;0
130;3.118;0.782;1.755;2.605;0.666;0.682;241.15;0.674;9.307;0.7;1.4;11.05;17;0
131;3.002;0.576;1.621;1.634;0.658;0.626;208.9;1.029;7.962;1.15;1.278;0;0;0
132;9.324;1.844;1.134;3.813;0.614;0.603;245.85;1.007;29.398;1.15;1.643;76.9;20.237;0
133;3.92;0.729;1.458;2.439;0.623;0.566;224.75;0.899;10.528;1.952;1.393;8.658;9.105;0
134;4.494;0.821;0.765;3.073;0.616;0.62;242.75;0.668;14.168;2.103;1.355;50.125;22.75;0
135;3.402;0.75;0.719;1.887;0.783;0.776;238.15;1.344;7.352;0;0;0;0;0
136;3.777;0.662;1.163;2.149;0.689;0.641;235.5;1.178;9.205;0.75;1.5;0;0;0
137;3.462;0.732;1.007;1.804;0.775;0.757;235.55;1.347;7.39;0.05;1;0;0;0
138;;;;;;;;;;;;;;
139;3.982;0.749;1.923;2.615;0.512;0.42;231.15;0.575;12.654;5.9;1.422;43.4;7.057;0
140;;;;;;;;;;;;;;
141;2.402;0.575;1.141;1.555;0.656;0.637;184.6;0.761;5.629;1.55;1.409;2.15;3.909;0
142;2.937;0.613;0.985;2.41;0.678;0.708;229;0.71;8.162;0.1;1;8.2;10.933;0
143;3.272;0.683;1.855;2.571;0.637;0.615;228.85;0.698;9.599;1.5;1.875;15.25;10.517;0
144;2.114;0.414;1.728;2.303;0.67;0.666;217.9;0.511;5.599;0.7;1.556;10.05;11.167;0
145;4.041;0.729;1.587;2.061;0.734;0.751;230.25;1.141;9.034;0.35;1.167;2.7;10.8;0
147;3.346;0.633;1.042;1.798;0.707;0.687;220.95;1.108;7.778;0.701;1.273;0;0;0
148;1.582;0.415;0.967;1.333;0.596;0.574;186.3;0.454;3.988;5.5;1.549;1.6;4.571;0
149;3.377;0.702;1.053;1.617;0.772;0.77;231.15;1.368;7.14;0.1;1;0;0;0
150;1.006;0.28;1.853;2.592;0.422;0.336;181.6;0.112;3.802;14.75;2.218;61.15;6.871;0
151;1.012;0.279;0.904;1.78;0.491;0.435;180.1;0.191;3.376;9.7;2.132;21.45;6.919;0
152;1.972;0.492;0.864;1.456;0.756;0.818;185.1;0.647;4.136;0;0;5.55;8.538;0
153;1.837;0.48;1.691;2.114;0.519;0.451;182;0.278;5.212;6.1;1.627;33.15;4.985;0
154;1.444;0.369;1.139;1.487;0.71;0.731;185.15;0.42;3.319;1.1;1.833;6.35;12.7;0
155;1.132;0.322;0.364;1.086;0.702;0.659;182.15;0.459;2.556;1.2;1.412;0;0;0
156;0.768;0.209;1.172;1.202;0.647;0.602;185.8;0.305;1.877;2.6;1.486;0.2;2;0
157;0.868;0.222;1.467;2.668;0.44;0.353;172.1;0.071;3.01;11.516;1.716;65.64;6.155;0.017
158;0.828;0.212;2.716;2.862;0.431;0.337;173.4;0.039;2.885;11;1.76;79.6;7.691;0.011
159;;;;;;;;;;;;;;
160;0.517;0.138;1.595;1.605;0.659;0.616;175.9;0.117;1.383;0;0;15.05;7;0.003
161;2.42;0.673;0.195;0.426;0.9;0.899;185.85;1.615;3.319;0;0;0;0;0
162;0.898;0.242;1.252;1.419;0.732;0.731;180;0.291;2.056;0.05;1;4.05;11.571;0
163;1.967;0.559;0.809;1.151;0.627;0.569;175.4;0.791;4.801;4.05;1.446;0;0;0
164;1.495;0.426;0.357;1.114;0.669;0.607;176.15;0.604;3.345;2;1.481;0.1;1;0
165;1.45;0.429;2.188;1.096;0.611;0.555;170.25;0.547;3.605;4.55;1.542;0.15;3;0
166;0.847;0.248;1.294;1.367;0.57;0.507;171.6;0.253;2.298;5.65;1.687;4.35;3.625;0
167;1.369;0.406;0.638;0.762;0.724;0.707;173.5;0.743;2.842;2.15;1.387;0;0;0
168;;;;;;;;;;;;;;
169;1.289;0.372;1.121;1.314;0.594;0.547;173.2;0.405;3.204;5.1;1.569;0.85;1.545;0
170;1.305;0.395;1.425;1.352;0.599;0.561;170.65;0.424;3.283;5.6;1.514;1.3;3.714;0
171;1.357;0.417;1.365;1.353;0.613;0.574;170.8;0.465;3.382;4.5;1.5;0;0;0
172;1.223;0.402;1.492;1.745;0.494;0.442;164.45;0.216;3.59;9.7;1.63;27.9;4.769;0
173;2.474;0.598;1.055;1.409;0.818;0.82;229.35;1.17;4.595;0;0;0;0;0
174;1.344;0.43;1.429;2.184;0.509;0.454;162.25;0.182;4.003;7.6;1.634;44.5;6.054;0
175;1.24;0.413;1.924;2.123;0.473;0.42;158.15;0.147;4.415;12.75;2.237;50.7;8.177;0
176;1.139;0.39;2.073;1.835;0.518;0.459;158.9;0.229;3.569;7.55;1.678;17.55;3.134;0
177;1.102;0.376;2.009;2.644;0.462;0.377;151.4;0.11;3.705;11.55;1.674;68.15;7.174;0
178;1.333;0.491;0.619;1.26;0.689;0.665;165.9;0.526;3.155;1.95;1.5;0;0;0
179;1.179;0.417;1.533;1.756;0.545;0.503;159.25;0.297;3.432;7.6;1.6;4.3;2.774;0
180;;;;;;;;;;;;;;
181;1.393;0.519;1.496;1.932;0.602;0.58;156.35;0.328;4.247;9.5;2.317;8.1;6;0
182;1.366;0.522;1.489;2.189;0.634;0.621;156.5;0.316;4.262;4.2;1.787;9.65;6.031;0
183;2.062;0.73;1.29;1.652;0.657;0.661;167.25;0.599;6.45;3.55;1.42;1.95;7.8;0
184;1.877;0.677;1.308;1.974;0.666;0.675;167.55;0.507;5.344;2.2;1.692;2.75;5.5;0
185;1.279;0.49;0.117;1.702;0.683;0.701;170.6;0.383;3.428;1.75;1.944;1.8;7.2;0
186;1.611;0.596;1.202;1.816;0.691;0.711;169.3;0.474;4.398;1.05;1.909;2.1;7;0
187;1.538;0.457;1.172;1.073;0.819;0.825;205.4;0.79;2.733;0;0;0;0;0
188;1.197;0.385;1.119;1.798;0.61;0.574;164.95;0.295;3.358;3.6;1.756;7.1;4.733;0
189;1.13;0.373;1.506;1.88;0.573;0.534;163.5;0.236;3.178;5.45;1.603;15.6;5.887;0
190;1.088;0.366;1.083;1.694;0.598;0.565;164.85;0.264;2.864;5.25;1.667;6.25;3.378;0
191;1.202;0.419;1.668;1.666;0.515;0.467;157.9;0.195;3.511;8.45;1.641;26.7;5.449;0
192;1.138;0.404;0.987;1.73;0.502;0.448;154.7;0.21;3.448;10;1.681;24.85;5.232;0
193;1.161;0.412;1.577;1.647;0.511;0.46;155.1;0.219;3.531;9.55;1.752;22.4;4.766;0
194;1.503;0.558;1.664;1.915;0.488;0.433;154.5;0.308;4.864;12.05;1.854;17.15;5.359;0
195;1.206;0.443;1.365;1.809;0.539;0.493;153.2;0.274;3.595;8.15;1.698;12.55;5.705;0
196;1.175;0.445;0.498;2.027;0.63;0.625;166;0.234;3.379;4.35;1.74;18.75;7.353;0
197;1.303;0.498;1.329;1.992;0.624;0.619;168.05;0.289;3.767;4.15;1.729;13;6.341;0
198;1.226;0.472;1.816;2.164;0.641;0.642;165.3;0.258;3.423;2.8;2.074;15.95;6.935;0
199;1.322;0.513;2.064;2.612;0.57;0.55;165.7;0.185;4.42;5.8;2.578;40.4;7.623;0
200;4.449;0.855;1.476;2.789;0.629;0.647;234.55;0.824;13.091;0.95;2.714;26.9;11.208;0
201;6.125;1.174;1.187;3.563;0.527;0.522;235.4;0.738;21.896;9.6;2.704;82.2;13.587;0
202;4.574;0.867;1.496;2.771;0.5;0.433;203.6;0.752;15.71;8.25;1.684;33.55;6.778;0
203;5.452;1.072;2.014;2.435;0.596;0.587;225.85;1.085;17.93;2.55;1.821;18.753;8.523;0
204;5.481;1.046;1.512;2.876;0.609;0.601;229.85;1;16.159;1.1;1.833;26.95;8.983;0
205;7.35;1.464;0.911;5.922;0.615;0.566;265.35;0.247;23.281;2.3;1.314;132.3;17.408;0
206;4.775;0.917;1.174;2.574;0.629;0.579;234.9;0.996;12.849;1.15;1.917;14.35;7.757;0
207;4.714;0.901;1.123;2.249;0.65;0.609;232.3;1.172;12.274;1.15;1.917;4.65;7.75;0
208;3.719;0.714;1.422;1.96;0.541;0.473;193.85;0.95;12.282;2.8;2.8;3.15;9;0
209;3.663;0.7;0.997;2.13;0.571;0.508;195.9;0.969;10.386;2.6;1.733;4.05;5.786;0
210;5.054;1.077;1;2.919;0.463;0.367;207.5;0.638;16.148;8;1.553;57.55;7.378;0
211;4.465;0.862;1.231;2.321;0.641;0.597;223.8;1.151;11.433;0.85;1.417;5.05;10.1;0
212;2.804;0.603;1.357;2.021;0.539;0.471;192.55;0.674;7.734;4.8;1.745;5.2;4.16;0
213;2.945;0.707;0.966;1.999;0.641;0.626;176.35;0.617;7.329;0.55;1.571;15.35;8.297;0
214;2.804;0.583;1.363;1.485;0.701;0.722;189.85;1.015;6.665;0.25;2.5;0.15;1.5;0
215;3.011;0.645;1.141;1.715;0.604;0.556;186.05;0.88;8.029;3.25;1.477;2.25;4.091;0
216;3.182;0.699;1.239;1.861;0.621;0.572;184.65;0.984;8.525;0.1;1;0.6;2;0
217;6.277;1.342;1.283;2.093;0.579;0.526;212.3;1.669;17.124;3;1.5;4.45;9.889;0
218;3.063;0.687;0.969;2.005;0.654;0.61;191.85;1.185;8.291;0;0;0;0;0
219;2.341;0.597;1.505;1.09;0.673;0.641;179.6;1.036;5.777;2.3;1.314;0;0;0
220;1.725;0.486;1.624;1.504;0.559;0.498;169.5;0.519;4.785;6.05;1.512;0.25;2.5;0
221;1.772;0.477;1.139;1.155;0.683;0.653;175.85;0.788;4.065;2.25;1.324;0;0;0
222;1.737;0.423;1.605;3.064;0.429;0.339;174.1;0.178;6.219;12.75;1.821;73.65;6.726;0
223;1.229;0.31;1.816;2.721;0.458;0.378;173.75;0.069;4.189;9.8;1.75;63.85;7.468;0.025
224;1.707;0.453;1.733;1.359;0.651;0.616;176.2;0.653;4.07;3.5;1.556;0;0;0
225;2.427;0.59;1.232;1.596;0.687;0.652;187.05;1.069;5.868;0.1;1;0;0;0
226;2.295;0.561;1.087;2.312;0.484;0.393;182.65;0.43;7.28;7.6;1.67;23.55;4.205;0
227;2.267;0.565;1.286;1.471;0.698;0.664;186.25;1.026;5.224;0.25;1.25;0;0;0
228;3.399;0.747;1.322;1.89;0.681;0.628;212.7;1.149;7.703;0.1;1;0;0;0
229;0.861;0.263;0.947;0.959;0.673;0.643;169.05;0.392;1.875;3.55;1.543;0;0;0
230;4.754;0.996;1.437;1.788;0.677;0.653;211.7;1.4;11.252;1.3;1.444;0.75;7.5;0
231;3.566;0.793;1.501;1.861;0.661;0.626;204.9;0.987;8.3;1.25;1.389;1.5;3.75;0
232;1.434;0.369;1.922;2.178;0.489;0.412;182.75;0.252;4.431;7.6;1.49;25.05;4.639;0
233;3.075;0.714;1.666;1.808;0.645;0.605;202.3;0.89;7.503;1.6;1.6;0;0;0
234;3.325;0.748;1.302;1.728;0.697;0.653;211.3;1.198;7.295;0.2;1.333;0;0;0
235;0.967;0.287;0.529;1.012;0.763;0.744;177.85;0.485;1.901;0.85;1.417;0.1;2;0
236;2.549;0.63;0.786;1.302;0.685;0.644;182.8;1.056;5.533;1.85;1.194;0.05;1;0
237;1.793;0.473;1.054;1.568;0.588;0.539;175.75;0.563;4.887;4.05;1.528;2.6;4.727;0
238;;;;;;;;;;;;;;
239;1.468;0.435;0.858;1.351;0.621;0.574;174.3;0.49;3.723;3.45;1.568;0.75;3;0
240;0.934;0.348;0.091;0.955;0.783;0.773;181.2;0.488;1.721;1.3;1.529;0;0;0
241;0.871;0.335;0.684;2.361;0.57;0.542;166.3;0.122;2.691;6.5;2.167;41.6;6.992;0
242;;;;;;;;;;;;;;
243;0.785;0.302;0.583;2.323;0.565;0.539;166.5;0.126;2.508;8.2;2.603;32.7;5.542;0
244;2.519;0.612;1.39;2.496;0.693;0.702;236.8;0.619;6.739;0.25;1.25;2.651;5.3;0
245;4.529;1.129;0.761;1.236;0.828;0.875;222.8;2.438;9.03;0.15;1;0;0;0
246;2.257;0.553;1.812;2.424;0.641;0.661;230.75;0.464;6.948;2.9;1.812;17.85;23.8;0
247;3.735;0.958;1.146;2.889;0.675;0.695;246.4;0.756;10.875;1;1.429;17.1;9;0
248;2.804;0.675;1.223;1.887;0.759;0.783;231.1;1.053;6.527;0.1;1;0;0;0
249;;;;;;;;;;;;;;
250;1.114;0.275;0.852;1.489;0.681;0.695;223.85;0.409;2.818;3.6;2.182;0.25;1.667;0
251;2.631;0.631;1.522;1.611;0.761;0.814;222.65;1.056;6.344;0.05;1;2.1;42;0
252;2.705;0.626;1.344;1.936;0.718;0.711;227.05;0.911;6.497;0.05;1;0.3;1.5;0
253;2.297;0.58;1.79;1.825;0.755;0.789;225.6;0.777;5.465;0;0;0.1;2;0
254;2.642;0.617;1.001;1.845;0.734;0.733;226.85;0.945;6.241;0.05;1;0;0;0
255;3.22;0.843;0.585;2.037;0.673;0.686;219.05;0.82;8.596;0.75;1.875;4.35;5.438;0
256;2.348;0.614;1.905;1.814;0.675;0.664;198.9;0.721;6.063;1.55;1.55;1.85;6.167;0
257;3.297;0.828;2.314;3.151;0.419;0.347;203.15;0.302;13.069;20.5;2.412;91.05;9.06;0
258;3.209;0.826;2.34;1.929;0.694;0.685;214;0.988;8.142;1.1;1.692;0.1;2;0
259;3.329;0.764;1.323;1.702;0.639;0.611;200.9;0.975;9.114;2;1.379;0;0;0
260;1.914;0.503;0.375;1.361;0.662;0.639;181.65;0.678;4.639;3.05;1.564;0;0;0
261;2.751;0.727;1.387;2.457;0.417;0.34;178.3;0.294;9.443;13.65;1.964;61.2;6.309;0
262;3.382;0.815;1.814;2.195;0.515;0.438;189.9;0.733;10.409;6.7;1.718;13.65;4.964;0
263;2.885;0.698;0.977;1.745;0.712;0.664;216.8;0.996;6.668;0.45;1.5;0.05;1;0
264;5.415;1.067;1.376;2.688;0.651;0.623;239.5;1.049;15.274;1.15;1.438;20.5;13.667;0
265;11.678;2.346;1.797;4.821;0.521;0.447;257.6;0.055;44.6;17.8;2.718;127.1;17.411;0.016
266;6.975;1.393;1.149;2.874;0.666;0.662;246.75;1.332;19.604;0.45;1.286;23.85;11.634;0
267;4.798;0.98;1.829;2.44;0.675;0.653;237.45;1.135;12.158;0.55;1;9.05;10.647;0
268;5.263;1.123;1.268;2.329;0.668;0.677;224.05;1.33;13.976;0.6;1.333;3.15;4.2;0
269;2.452;0.54;1.509;1.55;0.687;0.667;195.25;0.906;5.923;1.15;1.438;0;0;0
270;3.358;0.727;1.58;1.985;0.676;0.656;210.75;1.038;7.976;1;1.333;0.05;1;0
271;20.139;4.29;1.164;2.731;0.59;0.572;234.65;3.748;68.865;6.3;1.881;27.3;7.583;0
272;;;;;;;;;;;;;;
273;3.976;0.866;1.438;2.16;0.652;0.624;218.1;1.094;10.341;1.2;1.5;1.55;5.167;0
274;5.293;1.209;1.59;3.714;0.404;0.297;216.65;0.292;19.352;16.3;1.94;106.45;9.137;0
275;2.334;0.512;2.277;3.16;0.468;0.4;200.8;0.161;7.753;9.15;2.08;81.4;12.819;0
276;4.365;0.934;1.502;2.179;0.67;0.632;223;1.226;10.575;1;1.333;1.1;2.444;0
277;2.614;0.61;1.732;1.663;0.661;0.648;198.65;0.827;6.276;2.3;1.533;0.65;6.5;0
278;2.714;0.656;1.37;2.018;0.599;0.565;195.45;0.695;7.233;2.95;1.475;3.65;9.125;0
279;1.89;0.475;0.768;1.991;0.535;0.469;183.8;0.453;5.678;4.9;1.661;7.75;4.189;0
280;3.682;0.836;1.317;2.009;0.677;0.641;215.9;1.111;8.436;1;1.333;0.3;2;0
281;3.042;0.729;0.996;1.758;0.714;0.675;216.35;1.06;6.841;0.3;1.5;0;0;0
282;1.811;0.536;1.232;2.287;0.486;0.414;167.35;0.272;5.628;7.6;1.652;42.9;5.877;0
