ID;start_ID;end_ID
501;RL35048362;RL35075498
503;RL35048362;RL35074501
504;RL35048362;RL35072279
505;RL35074459;RL35073894
506;RL35075112;RL35073661
507;RL35073660;RL35072867
508;RL35074221;RL35072524
509;RL35070452;RL35070150
510;RL35070689;RL35070428
511;RL35069579;RL35069668
512;RL35069579;RL35070031
513;RL35072084;RL35071172
514;RL35072101;RL35071327
515;RL35072084;RL35071421
516;RL35072633;RL35071541
517;RL35070832;RL35071483
518;RL35072084;RL35071288
519;RL35072084;RL35070873
520;RL35073441;RL35070810
521;RL35048362;RL35070319
523;RL35072530;RL35070641
524;RL35041985;RL35042701
525;RL35043790;RL35043049
526;RL35041985;RL35042746
527;RL35041985;RL35043496
528;RL35045102;RL35045339
529;RL35046408;RL35045340
530;RL35045102;RL35045044
531;RL35047089;RL35047024
532;RL35047089;RL35046922
533;RL35047089;RL35044827
534;RL35045183;RL35044274
535;RL35046400;RL35045557
536;RL35046035;RL35045624
537;RL35045183;RL35043533
538;RL35045183;RL35043492
539;RL35044549;RL35043879
540;RL35045183;RL35042851
541;RL35045183;RL35043651
542;RL35045124;RL35045779
543;RL35045124;RL35044031
544;RL35045124;RL35044588
545;RL35045654;RL35045215
546;RL35044786;RL35044562
547;RL35045124;RL35044032
548;RL35045183;RL35043642
549;RL35046545;RL35072844
550;RL35046545;RL35071420
551;RL35045872;RL35045793
552;RL35046110;RL35072302
553;RL35046110;RL35071601
554;RL35070934;RL35070747
555;RL35070934;RL35069877
556;RL35070934;RL35070234
557;RL35046110;RL35070233
558;RL35045183;RL35069733
559;RL35042674;RL35069170
560;RL35069147;RL35069709
561;RL35069147;RL35069297
562;RL35069147;RL35069040
563;RL35069147;RL35068356
564;RL35069315;RL35068575
565;RL35042257;RL35042487
566;RL35042257;RL35042292
567;RL35042257;RL35042078
568;RL35042599;RL35042071
569;RL35042257;RL35067657
570;RL35065716;RL35067030
571;RL35042257;RL35067513
572;RL35066269;RL35066951
573;RL35066247;RL35066925
574;RL35066247;RL35067535
575;RL35071475;RL35070135
576;RL35071475;RL35070567
577;RL35071638;RL35071012
578;RL35071475;RL35070970
579;RL35072869;RL35072472
580;RL35074302;RL35073275
581;RL35072869;RL35071679
582;RL35071475;RL35071469
583;RL35072705;RL35071038
584;RL35071475;RL35069998
585;RL35073692;RL35073186
586;RL35073692;RL35072116
587;RL35073692;RL35070137
588;RL35068846;RL35069534
589;RL35070584;RL35070722
590;RL35068846;RL35069957
591;RL35068659;RL35068857
592;RL35068846;RL35068570
593;RL35067908;RL35068073
594;RL35067888;RL35068088
595;RL35068085;RL35068085
596;RL35068290;RL35068086
597;RL35068846;RL35068163
598;RL35071475;RL35068203
599;RL35069918;RL35069075
600;RL35067310;RL35068142
601;RL35070782;RL35070072
602;RL35045183;RL35068838
603;RL35073663;RL35072507
604;RL35071923;RL35072156
605;RL35073663;RL35071709
606;RL35072268;RL35071136
607;RL35073663;RL35070497
608;RL35070429;RL35069883
609;RL35073663;RL35069078
610;RL35114198;RL35115712
611;RL35114198;RL35116732
612;RL35114198;RL35117285
613;RL35114198;RL35117616
614;RL35114198;RL35118293
615;RL35114198;RL35118931
616;RL35114198;RL35118252
617;RL35114198;RL35117303
618;RL35049330;RL35052967
619;RL35049330;RL35055576
620;RL35049330;RL35115704
621;RL35049241;RL35051446
622;RL35049936;RL35051447
623;RL35049330;RL35051445
624;RL35050923;RL35052613
625;RL35053617;RL35053451
626;RL35114276;RL35115698
627;RL35056588;RL35114068
628;RL35056588;RL35115783
629;RL35150902;RL35116317
630;RL35117495;RL35116536
631;RL35120140;RL35119035
632;RL35120140;RL35117777
633;RL35118524;RL35117780
634;RL35114837;RL35117146
635;RL35114333;RL35116391
636;RL35047534;RL35055179
637;RL35047534;RL35113967
638;RL35047534;RL35115437
639;RL35047534;RL35115856
