ID;NB;NSE;KGE;CORR;MSE;pBIAS;MSIM;MOBS;fewobs
354;198;0.5917;0.6115;0.7745;0.0595;22.2;0.1895;0.1551;0
356;199;0.634;0.683;0.7976;0.8101;7.9;0.7414;0.6872;0
359;200;0.6434;0.6988;0.8061;3.0998;12.1;2.1833;1.9478;0
361;201;0.3722;0.4138;0.6371;0.0875;27.2;0.32;0.2515;0
363;202;0.027;-0.0924;0.1858;0.0032;-1.1;0.0645;0.0652;0
366;203;0.6094;0.6856;0.7807;0.2276;-0.7;0.9703;0.9776;0
374;204;;;;;;;;1
377;205;0.5458;0.6163;0.7493;0.5794;14;1.1495;1.0087;0
378;206;0.6266;0.6723;0.7964;1.6549;8.2;2.165;2.0002;0
379;207;;;;;;;;1
380;208;;;;;;;;1
382;209;;;;;;;;1
383;210;0.5043;0.5516;0.7192;1.4945;17.9;1.2806;1.0858;0
388;211;0.5029;0.3712;0.7832;0.1954;54.2;0.5923;0.3842;0
390;212;0.3103;0.4543;0.5783;0.0307;13;0.216;0.1911;0
392;213;-0.0898;-0.426;-0.1646;0.283;-0.2;2.176;2.1799;0
395;214;0.036;0.1408;0.4008;0.0083;30.2;0.1392;0.1069;0
398;215;-0.1414;-0.2258;0.0143;0.0089;20.1;0.1291;0.1075;0
401;216;0.6438;0.7133;0.8028;2.595;2.9;2.4229;2.3552;0
402;217;0.5492;0.6348;0.7415;1.8118;2.7;1.8472;1.7992;0
405;218;0.4865;0.5605;0.6977;0.2955;0.6;1.0391;1.0333;0
408;219;0.4649;0.5509;0.6818;0.3574;0.2;1.1871;1.1848;0
409;220;0.3791;0.4825;0.6185;0.5144;3.4;1.3503;1.3061;0
411;221;0.1795;0.2472;0.4312;0.0624;2.2;0.3307;0.3235;0
415;222;-0.8143;0.1612;0.547;0.0284;65.9;0.3264;0.1967;0
428;223;0.2301;0.2728;0.4976;0.4179;14.9;0.7515;0.6541;0
430;224;0.1906;0.2109;0.4414;0.5104;8.4;0.6614;0.61;0
431;225;0.1923;0.2567;0.4499;0.0423;7.6;0.2719;0.2527;0
435;226;0.1603;0.1992;0.4067;0.0016;2.2;0.0896;0.0877;0
436;227;0.2623;0.3218;0.523;0.3866;9.2;0.9096;0.8329;0
439;228;0.2006;0.2503;0.4502;0.6125;2.1;0.9755;0.9559;0
441;229;0.2811;0.343;0.5457;0.4608;14.3;0.8297;0.7262;0
445;230;0.2099;0.3115;0.4713;2.7258;4.5;2.7821;2.6618;0
447;231;0.0272;-0.1309;0.1735;0.4231;-0.2;0.3701;0.3707;0
449;232;0.2017;0.2227;0.4595;0.0259;11.1;0.174;0.1566;0
453;233;0.4269;0.5197;0.6535;0.25;0.3;0.9573;0.9546;0
455;234;0.2205;0.2023;0.5008;2.9722;32.3;1.3679;1.0339;0
457;235;0.3547;0.4415;0.6065;0.3365;7.2;1.2297;1.147;0
459;236;0.2106;0.241;0.459;0.6302;0.5;0.6262;0.6233;0
461;237;0.2365;0.2971;0.4887;0.1187;3.2;0.4657;0.4511;0
465;238;0.0843;0.0158;0.2953;0.595;11.3;0.3656;0.3284;0
469;239;0.1922;0.2713;0.4484;0.4229;5.1;0.7884;0.7502;0
471;240;0.5649;0.6659;0.7523;2.2106;2;2.5702;2.5196;0
472;241;0.7912;0.8471;0.8907;2.4737;4.1;4.0017;3.8453;0
475;242;0.7967;0.8434;0.8928;1.5606;1.3;3.5647;3.5195;0
476;243;0.8256;0.8718;0.9086;0.9376;0;2.4742;2.4732;0
477;244;0.8167;0.864;0.904;0.2481;2;1.2843;1.2592;0
478;245;0.8018;0.8436;0.8963;0.7961;-3.5;2.0708;2.1465;0
480;246;0.649;0.7227;0.8069;0.8896;4.5;1.6714;1.5994;0
483;247;;;;;;;;1
485;248;;;;;;;;1
488;249;0.4176;0.5243;0.6495;0.979;3.1;2.5102;2.4355;0
489;250;0.8095;0.8621;0.8998;2.022;-0.4;4.1282;4.1464;0
490;251;0.7441;0.8196;0.8628;2.9906;0.2;6.0202;6.0082;0
491;252;0.7213;0.7932;0.8494;1.2639;-0.5;3.2004;3.2174;0
492;253;;;;;;;;1
495;254;0.4291;0.5286;0.6556;0.1323;0.7;0.9084;0.9025;0
496;255;0.5336;0.6378;0.7345;6.3966;5.1;5.6463;5.3746;0
498;256;0.596;0.6695;0.7723;0.5589;0.7;2.5217;2.5039;0
500;257;0.2879;0.3419;0.538;2.2087;4.2;1.7658;1.6952;0
505;258;0.3218;0.3739;0.5721;5.9439;7.9;2.8657;2.656;0
506;259;0.4567;0.4852;0.7092;0.1815;31.4;0.5196;0.3954;0
508;260;0.4398;0.4724;0.6819;0.5076;26.6;0.7174;0.5666;0
509;261;0.487;0.5638;0.6985;0.8691;3;1.2496;1.2128;0
510;262;0.5793;0.6715;0.7613;0.6377;0.5;1.7696;1.7603;0
511;263;0.5098;0.5886;0.7155;0.7074;5.8;0.9955;0.9409;0
513;264;0.4657;0.5669;0.6836;0.7513;2.5;1.5957;1.5562;0
514;265;0.54;0.6023;0.7359;0.2011;2.6;0.533;0.5193;0
516;266;0.4561;0.4834;0.6831;6.4214;17.5;2.0518;1.7469;0
517;267;0.4295;0.4812;0.6583;1.1272;16.8;0.5962;0.5105;0
520;268;0.3396;0.4059;0.5889;3.1107;16.9;1.2477;1.0674;0
523;269;0.3894;0.4569;0.6505;1.1133;27.6;1.1228;0.8802;0
524;270;0.5891;0.7505;0.8954;1.0341;21.4;4.1379;3.408;0
525;271;0.7704;0.8227;0.8828;0.3237;7;1.7109;1.5991;0
528;272;0.8655;0.8951;0.9305;5.8066;-2.2;5.3332;5.4541;0
529;273;0.8645;0.8958;0.9309;1.0203;-5.7;1.9202;2.0369;0
531;274;0.814;0.716;0.9207;3.4722;-15.6;2.6432;3.1304;0
534;275;0.8489;0.8921;0.9219;10.7209;3.1;8.7055;8.4474;0
535;276;0.902;0.9273;0.9498;0.6782;0.9;2.4258;2.4036;0
536;277;0.8015;0.7196;0.9245;0.0689;26;0.6583;0.5223;0
539;278;0.6757;0.756;0.8251;1.1168;7.2;1.8791;1.7525;0
542;279;;;;;;;;1
545;280;0.8228;0.866;0.9073;2.0462;2;3.5064;3.4391;0
546;281;;;;;;;;1
549;282;0.6583;0.7352;0.8114;0.2442;0.7;1.0425;1.0353;0
