ID;area_calc;elev_mean;elev_med;elev_std;elev_ran;slope_mean;mvert_dist;mvert_ang;elon_ratio;strm_dens;p_mean;et0_mean;eta_mean;arid_1;arid_2;p_season;frac_snow;hi_prec_fr;hi_prec_du;hi_prec_ti;lo_prec_fr;lo_prec_du;lo_prec_ti;lc_dom;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;lai_max;lai_diff;ndvi_max;ndvi_min;gvf_max;gvf_diff;bedrk_dep;root_dep;soil_poros;soil_condu;soil_tawc;sand_fra;silt_fra;clay_fra;grav_fra;oc_fra;gc_dom;gc_ig_fra;gc_mt_fra;gc_pa_fra;gc_pb_fra;gc_pi_fra;gc_py_fra;gc_sc_fra;gc_sm_fra;gc_ss_fra;gc_su_fra;gc_va_fra;gc_vb_fra;gc_wb_fra;geol_perme;geol_poros;NEXTDOWNID
267;102.814;1108;1001;400;1893;346;13.8;334;0.83;0.69;4.8;2.1;1.51;0.44;0.6;0.37;0.27;8;1.21;jja;152.75;2.69;djf;312;0.102;0.105;0.645;0;0;0.014;3.82;3.65;0.71;0.14;0.81;0.76;0.74;0.37;0.48;0.041;0.06;0.363;0.415;0.222;0.142;0.019;sc;0;0;0;0;0;0;0.891;0.109;0;0;0;0;0;-11.9;0.074;0
268;41.504;1222;1223;348;1731;336;7.2;73;1.014;0.58;4.69;2.08;1.38;0.44;0.59;0.4;0.25;8.4;1.21;jja;153.1;2.69;djf;312;0.065;0.113;0.641;0;0;0.03;3.85;3.68;0.71;0.1;0.81;0.81;0.7;0.41;0.48;0.037;0.07;0.376;0.425;0.199;0.133;0.019;sc;0;0;0;0;0;0;0.802;0.198;0;0;0;0;0;-11.9;0.086;270
269;68.425;1040;996;292;1623;278;11.3;306;0.824;0.78;4.54;2.17;1.45;0.48;0.69;0.41;0.24;9.15;1.22;NA;157.95;2.69;djf;312;0.221;0.057;0.597;0;0;0.015;4.28;4.08;0.76;0.14;0.87;0.81;0.9;0.47;0.49;0.051;0.08;0.366;0.407;0.228;0.121;0.017;sc;0;0;0;0;0;0;0.803;0.197;0;0;0;0;0;-11.9;0.086;270
270;38.624;839;711;296;1253;213;7.6;320;0.92;0.66;4.67;2.2;1.47;0.47;0.77;0.39;0.25;8.45;1.22;jja;154.5;2.68;djf;231;0.398;0.01;0.5;0;0;0.068;4.32;4.12;0.78;0.15;0.93;0.86;1.35;0.68;0.48;0.054;0.11;0.382;0.377;0.24;0.107;0.012;sm;0;0;0;0;0;0;0.345;0.655;0;0;0;0;0;-12.3;0.145;0
272;15.623;1269;1336;328;1334;379;5.5;246;0.816;0.68;4.31;2.05;1.76;0.48;0.55;0.38;0.2;9.75;1.21;jja;161.95;2.74;djf;312;0;0.165;0.576;0;0;0;2.8;2.6;0.67;0.11;0.8;0.78;0.65;0.35;0.48;0.035;0.06;0.356;0.41;0.234;0.14;0.018;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;0
274;15.077;1153;1152;330;1286;372;7;262;0.628;0.3;4.38;2.13;1.79;0.49;0.61;0.36;0.2;9.65;1.2;jja;159.6;2.71;djf;313;0;0.136;0.522;0;0;0;3.13;2.87;0.71;0.18;0.8;0.69;0.7;0.34;0.48;0.039;0.06;0.37;0.44;0.19;0.147;0.021;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;0
277;43.677;906;849;324;1541;370;12.7;313;0.586;0.78;4.29;2.19;1.79;0.51;0.71;0.36;0.19;10.15;1.22;jja;161.9;2.73;djf;313;0.093;0.057;0.769;0;0;0;4.5;4.29;0.77;0.17;0.85;0.76;0.7;0.35;0.48;0.041;0.06;0.362;0.433;0.204;0.138;0.021;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;0
279;20.995;696;697;122;658;223;5;53;1.026;0.63;3.98;2.25;1.61;0.57;0.8;0.33;0.13;11.15;1.21;jja;174.7;2.9;djf;313;0.279;0;0.705;0;0;0;5.08;4.71;0.81;0.26;0.92;0.7;0.81;0.39;0.49;0.067;0.07;0.396;0.372;0.232;0.072;0.013;sm;0;0;0;0;0;0;0.445;0.555;0;0;0;0;0;-12.2;0.132;0
282;71.268;577;588;132;708;175;18.8;305;0.506;0.45;3.38;2.27;1.63;0.67;0.95;0.31;0.12;12.15;1.2;jja;186.45;3.01;djf;231;0.537;0;0.403;0;0;0.051;4.27;3.9;0.79;0.23;0.98;0.78;1.36;0.39;0.49;0.122;0.07;0.376;0.37;0.254;0.075;0.013;sm;0;0;0;0;0;0;0.029;0.971;0;0;0;0;0;-13.3;0.186;0
283;64.407;718;706;74;399;82;12.8;156;0.706;0.53;2.69;2.18;1.57;0.81;0.88;0.4;0.12;13.1;1.17;jja;196.4;3.18;djf;312;0.55;0;0.364;0;0;0.086;3.19;2.93;0.72;0.17;0.89;0.78;1.01;0.64;0.47;0.876;0.11;0.428;0.363;0.208;0.111;0.009;pa;0;0.101;0.893;0;0;0;0;0;0;0.006;0;0;0;-14.1;0.011;284
