ID;NB;fewobs
468;706;0
481;707;0
497;708;0
519;709;0
537;710;0
547;711;0
557;712;0
563;713;0
569;714;0
582;715;0
597;716;0
609;717;0
630;718;0
656;719;0
668;720;0
677;721;0
684;722;0
688;723;0
702;724;0
717;725;0
735;726;0
739;727;0
741;728;0
805;729;0
821;730;0
829;731;0
835;732;0
864;733;0
880;734;0
45;735;0
62;736;0
84;737;0
122;738;0
162;739;0
211;740;0
225;741;0
254;742;0
280;743;0
333;744;1
371;745;0
413;746;0
442;747;0
456;748;0
464;749;0
482;750;0
538;751;0
571;752;0
584;753;0
620;754;0
636;755;0
657;756;0
669;757;0
685;758;0
689;759;0
723;760;0
736;761;0
806;762;0
836;763;0
853;764;0
865;765;0
1;766;0
46;767;0
87;768;0
129;769;0
227;770;0
263;771;0
364;772;0
414;773;0
443;774;0
484;775;0
540;776;0
598;777;0
637;778;0
658;779;0
686;780;0
690;781;0
721;782;0
749;783;0
840;784;0
855;785;0
870;786;0
13;787;0
53;788;0
135;789;0
228;790;0
281;791;0
389;792;0
422;793;0
444;794;0
487;795;0
541;796;0
638;797;0
678;798;0
691;799;0
722;800;0
744;801;0
844;802;0
63;803;0
137;804;0
234;805;0
423;806;0
499;807;0
548;808;0
639;809;0
679;810;0
737;811;0
848;812;0
856;813;0
64;814;0
149;815;0
426;816;0
501;817;0
558;818;0
680;819;0
738;820;0
849;821;0
857;822;0
66;823;0
503;824;0
602;825;1
610;826;0
681;827;0
728;828;0
881;829;0
77;830;0
393;831;0
504;832;0
611;833;0
88;834;0
394;835;0
521;836;0
612;837;0
96;838;0
397;839;0
613;840;0
614;841;0
710;842;0
615;843;0
711;844;0
616;845;0
712;846;0
617;847;0
713;848;0
173;849;0
714;850;0
187;851;0
314;852;0
323;853;0
351;854;0
372;855;0
373;856;0
375;857;0
376;858;0
399;859;0
